,Ensembl,Symbol,s28mo_C_F-s22mo_C_F_logFC,s28mo_C_F-s22mo_C_F_logCPM,s28mo_C_F-s22mo_C_F_LR,s28mo_C_F-s22mo_C_F_PValue,s28mo_C_F-s22mo_C_F_FDR,s28mo_C_F-s22mo_C_F_Status,Description
9272,ENSMUSG00000042045,Sln, 2.886448165, 4.0118855,194.0481369628162,0.000000000000000000000000000000000000000000041568,0.00000000000000000000000000000000000000060211,UP,sarcolipin
2396,ENSMUSG00000021453,Gadd45g, 2.481955377, 5.5910771,110.9941666123314,0.000000000000000000000000059345066435779881798962,0.00000000000000000000042980664366113575806148,UP,growth arrest and DNA-damage-inducible 45 gamma
1785,ENSMUSG00000020108,Ddit4, 2.637789867, 5.7775498, 90.1061188928141,0.000000000000000000002257225410164369842993097448,0.00000000000000001089863668874363191996519362,UP,DNA-damage-inducible transcript 4
11504,ENSMUSG00000060716,Plekhh1, 1.829208649, 3.1810031, 64.9429189945307,0.000000000000000770993863453276602390617545754805,0.00000000000279196152803017808492012823209825,UP,pleckstrin homology domain containing, family H (with MyTH4 domain) member 1
3247,ENSMUSG00000024042,Sik1, 1.243690838, 4.7527113, 59.4476943273553,0.000000000000012558814752610797664201532283124313,0.00000000003638288633831347779449963211287366,UP,salt inducible kinase 1
10201,ENSMUSG00000048489,Depp1, 3.529299901, 5.3626004, 54.6778662911481,0.000000000000141996543140601088300214441350831154,0.00000000034280332123193445716678831556591643,UP,DEPP1 autophagy regulator
12511,ENSMUSG00000074794,Arrdc3, 1.782314284, 6.4117442, 45.6782801073396,0.000000000013935948684836835730895343572344343645,0.00000002883745952855165222453036777839480154,UP,arrestin domain containing 3
1574,ENSMUSG00000019102,Aldh3a1, 3.042992971, 0.7352454, 43.7015388251706,0.000000000038247092680808714174450033343189694554,0.00000006925114218518927639120681682971536475,UP,aldehyde dehydrogenase family 3, subfamily A1
13465,ENSMUSG00000096768,Gm47283, 1.477860502, 4.1153782, 38.8799096356489,0.000000000450695212788106830333169945527246186279,0.00000072536890635952519078982758671259034600,UP,predicted gene, 47283
12039,ENSMUSG00000068614,Actc1, 1.622360690, 5.9967919, 36.1877418734625,0.000000001791941723513001865464866084248427013925,0.00000259562758650858323893539578164357806145,UP,actin, alpha, cardiac muscle 1
6511,ENSMUSG00000031880,Rrad, 1.428340277, 4.1086128, 35.3377236197296,0.000000002772103828129770973082979303192020792412,0.00000365035672276906626319750021059107325527,UP,Ras-related associated with diabetes
4933,ENSMUSG00000028082,Sh3d19, 1.130704024, 3.8145865, 34.6581039930082,0.000000003929991114384169509381164908830286197627,0.00000474382677432122468446501484251598412811,UP,SH3 domain protein D19
1719,ENSMUSG00000019970,Sgk1, 1.025063540, 6.6743035, 34.3119938936478,0.000000004694795301322835622665705237284081152715,0.00000503785848974158259264014350642391093515,UP,serum/glucocorticoid regulated kinase 1
