,Ensembl,Symbol,s28mo_AR_F-s06mo_AR_F_logFC,s28mo_AR_F-s06mo_AR_F_logCPM,s28mo_AR_F-s06mo_AR_F_LR,s28mo_AR_F-s06mo_AR_F_PValue,s28mo_AR_F-s06mo_AR_F_FDR,s28mo_AR_F-s06mo_AR_F_Status,Description
2690,ENSMUSG00000022206,Npr3,1.3493272499,4.115670559,97.10029696149248,0,0,UP,natriuretic peptide receptor 3
13814,ENSMUSG00000108815,Gm49388,6.4567039219,0.899654649,97.03794077621876,0,0,UP,"predicted gene, 49388"
1879,ENSMUSG00000020340,Cyfip2,1.8323961409,3.371836548,95.09368389647553,0,0,UP,cytoplasmic FMR1 interacting protein 2
9154,ENSMUSG00000042045,Sln,2.2248140459,3.010380282,84.8249851043404,0,1.1e-16,UP,sarcolipin
12261,ENSMUSG00000074264,Amy1,1.0975364557,5.851808567,84.40627301234495,0,1.1e-16,UP,"amylase 1, salivary"
408,ENSMUSG00000002997,Prkar2b,1.8192484046,2.930686517,81.02714479174384,0,5.2e-16,UP,"protein kinase, cAMP dependent regulatory, type II beta"
4641,ENSMUSG00000027513,Pck1,2.1619743533,4.69875127,80.53475825009487,0,5.7e-16,UP,"phosphoenolpyruvate carboxykinase 1, cytosolic"
11246,ENSMUSG00000059824,Dbp,-0.9612682766,6.04670476,77.15998576520269,0,2.79e-15,DOWN,D site albumin promoter binding protein
9759,ENSMUSG00000046275,Trarg1,1.7654764441,2.707621428,76.30885511972691,0,3.82e-15,UP,trafficking regulator of GLUT4 (SLC2A4) 1
3526,ENSMUSG00000024803,Ankrd1,1.5952927955,4.733218929,72.51963728514752,1e-17,2.347e-14,UP,ankyrin repeat domain 1 (cardiac muscle)
7355,ENSMUSG00000034957,Cebpa,1.2455168944,3.816023122,71.63123077495254,2e-17,3.347e-14,UP,"CCAAT/enhancer binding protein (C/EBP), alpha"
5461,ENSMUSG00000029368,Alb,4.5148394987,2.269188649,71.01335456993726,3e-17,3.999e-14,UP,albumin
9088,ENSMUSG00000041737,Tmem45b,2.5793991435,2.42671584,70.95073228811566,3e-17,3.999e-14,UP,transmembrane protein 45b
11974,ENSMUSG00000070498,Tmem132b,2.2588393205,1.531119208,70.22357121153603,5e-17,5.369e-14,UP,transmembrane protein 132B
1070,ENSMUSG00000012705,Retn,1.558757557,2.674240432,69.82789502037004,6e-17,6.124e-14,UP,resistin
8424,ENSMUSG00000039081,Zfp503,-1.1478412181,4.659228513,68.8294023107008,1e-16,9.525e-14,DOWN,zinc finger protein 503
10937,ENSMUSG00000056501,Cebpb,1.2532932732,5.739639514,66.98647684262556,2.7e-16,2.2828e-13,UP,"CCAAT/enhancer binding protein (C/EBP), beta"
12161,ENSMUSG00000073418,C4b,1.5991746669,3.692310024,65.80487036238205,4.9e-16,3.9263e-13,UP,complement component 4B (Chido blood group)
