,Ensembl,Symbol,s28mo_AR_M-s28mo_C_M_logFC,s28mo_AR_M-s28mo_C_M_logCPM,s28mo_AR_M-s28mo_C_M_LR,s28mo_AR_M-s28mo_C_M_PValue,s28mo_AR_M-s28mo_C_M_FDR,s28mo_AR_M-s28mo_C_M_Status,Description
13671,ENSMUSG00000108815,Gm49388,-5.2095956499,-0.16102075,55.4311856480780,0.000000000000096789,0.0000000013605,DOWN,"predicted gene, 49388"
5240,ENSMUSG00000028989,Angptl7,0.9090325113,5.08694052,36.3613033183069,0.000000001639257536,0.0000115207020,UP,angiopoietin-like 7
1344,ENSMUSG00000017344,Vtn,1.1486169099,3.41349066,34.1594364842520,0.000000005077641444,0.0000237904427,UP,vitronectin
8966,ENSMUSG00000041559,Fmod,0.9016720776,6.37052360,28.2707472544098,0.000000105477994879,0.0003706496740,UP,fibromodulin
7592,ENSMUSG00000036390,Gadd45a,-1.1234570539,5.83214198,23.1912364196169,0.000001466641732108,0.0041230232373,DOWN,growth arrest and DNA-damage-inducible 45 alpha
261,ENSMUSG00000001985,Grik3,2.1027731661,-0.31744330,21.7009114812408,0.000003186398457960,0.0065687500011,UP,"glutamate receptor, ionotropic, kainate 3"
4328,ENSMUSG00000026840,Lamc3,1.8513845345,0.10312474,21.6504750456042,0.000003271289841208,0.0065687500011,UP,laminin gamma 3
13094,ENSMUSG00000096768,Gm47283,-0.6586941224,3.96963822,20.5090269601665,0.000005935068944834,0.0104279161361,DOWN,"predicted gene, 47283"
3246,ENSMUSG00000024164,C3,0.9837750032,5.64007505,19.7460303919457,0.000008844520814200,0.0124318584564,UP,complement component 3
11993,ENSMUSG00000072676,Tmem254,1.5241268335,0.50606481,19.8278472553651,0.000008473910083812,0.0124318584564,UP,transmembrane protein 254
137,ENSMUSG00000001119,Col6a1,1.0831705117,4.43471250,18.7470296786546,0.000014925565398323,0.0190721588399,UP,"collagen, type VI, alpha 1"
2513,ENSMUSG00000021876,Rnase4,0.6647802141,4.13732399,18.1632945247658,0.000020274906297862,0.0237486735769,UP,"ribonuclease, RNase A family 4"
6301,ENSMUSG00000031740,Mmp2,0.7857584452,4.60957830,17.8640474440711,0.000023726134397360,0.0256534265453,UP,matrix metallopeptidase 2
