,Ensembl,Symbol,s28mo_AR_F-s22mo_AR_F_logFC,s28mo_AR_F-s22mo_AR_F_logCPM,s28mo_AR_F-s22mo_AR_F_LR,s28mo_AR_F-s22mo_AR_F_PValue,s28mo_AR_F-s22mo_AR_F_FDR,s28mo_AR_F-s22mo_AR_F_Status,Description
9229,ENSMUSG00000042045,Sln,2.2173723815,3.0470731,109.5268273021008,0,0,UP,sarcolipin
2657,ENSMUSG00000022096,Hr,-1.3958335993,6.4936691,96.666067532016,0,0,DOWN,lysine demethylase and nuclear receptor corepressor
3553,ENSMUSG00000024803,Ankrd1,1.2412872271,4.86844,69.1912406145081,8e-17,4.2763e-13,UP,ankyrin repeat domain 1 (cardiac muscle)
7631,ENSMUSG00000035963,Odf3l2,-1.1109620269,4.6629463,50.0203075825703,1.52163e-12,5.4611302e-9,DOWN,outer dense fiber of sperm tails 3-like 2
2162,ENSMUSG00000020889,Nr1d1,1.2206906686,6.1495846,45.9433906252897,1.217198e-11,3.494821482e-8,UP,"nuclear receptor subfamily 1, group D, member 1"
3021,ENSMUSG00000022893,Adamts1,0.7607959388,5.2995521,39.7260348456145,2.9220421e-10,6.9914727342e-7,UP,"a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 1"
12253,ENSMUSG00000072949,Acot1,1.2543192289,3.3743284,35.9078458833286,2.06873991e-9,4.24269002291e-6,UP,acyl-CoA thioesterase 1
5495,ENSMUSG00000029361,Nos1,-0.6509025915,6.5986614,34.292096229007,4.74304111e-9,7.56567758067e-6,DOWN,"nitric oxide synthase 1, neuronal"
7272,ENSMUSG00000034457,Eda2r,1.4255692606,5.9084964,34.3219172702779,4.6709181e-9,7.56567758067e-6,UP,ectodysplasin A2 receptor
5891,ENSMUSG00000030433,Sbk2,0.6388750105,5.2478451,30.5962028114777,3.177149453e-8,4.561115755937e-5,UP,"SH3-binding domain kinase family, member 2"
6943,ENSMUSG00000033083,Tbc1d4,0.6294484437,5.7777392,30.1255516377882,4.049602746e-8,5.28509972929e-5,UP,"TBC1 domain family, member 4"
10345,ENSMUSG00000050069,Grem2,-1.2284088462,1.8313963,29.3912876770764,5.914293217e-8,7.075466119768e-5,DOWN,"gremlin 2, DAN family BMP antagonist"
11683,ENSMUSG00000063388,BC023105,0.7845500415,4.5477578,29.1639306991537,6.650583557e-8,7.344290580848e-5,UP,cDNA sequence BC023105
10851,ENSMUSG00000054640,Slc8a1,0.8033591612,4.0768108,28.7198357096497,8.364261081e-8,8.576952291962e-5,UP,"solute carrier family 8 (sodium/calcium exchanger), member 1"
192,ENSMUSG00000001473,Tubb6,0.9750553866,4.324429,27.3810196479344,1.6706294543e-7,1.4107974380566e-4,UP,"tubulin, beta 6 class V"
8391,ENSMUSG00000038712,Mindy1,0.6197684889,5.3351489,27.430785035662,1.6281859346e-7,1.4107974380566e-4,UP,MINDY lysine 48 deubiquitinase 1
12680,ENSMUSG00000079363,Gbp4,1.5514142822,3.2298695,27.593707274417,1.4966488099e-7,1.4107974380566e-4,UP,guanylate binding protein 4
9144,ENSMUSG00000041669,Prima1,-1.1705858661,1.8585491,26.9011611655917,2.1413019537e-7,1.7078072693019e-4,DOWN,proline rich membrane anchor 1
9717,ENSMUSG00000045211,Nudt18,-0.6911691487,4.0269501,26.2731928246545,2.9637408507e-7,2.2393401923192e-4,DOWN,nudix (nucleoside diphosphate linked moiety X)-type motif 18
12625,ENSMUSG00000078922,Tgtp1,2.0905200288,1.7721758,24.9989486902232,5.7361582977e-7,4.117414426108e-4,UP,T cell specific GTPase 1
13054,ENSMUSG00000087410,2310065F04Rik,-0.5725281676,5.4665876,24.4599743306999,7.5869710375e-7,5.1865979149863e-4,DOWN,RIKEN cDNA 2310065F04 gene
12406,ENSMUSG00000074622,Mafb,-0.8244936736,4.5238745,24.3267241692749,8.1303225964e-7,5.3054050543203e-4,DOWN,"v-maf musculoaponeurotic fibrosarcoma oncogene family, protein B (avian)"
11727,ENSMUSG00000063821,Dusp29,1.5102936589,4.6173329,24.1661500832336,8.8371957509e-7,5.515947052223e-4,UP,dual specificity phosphatase 29
10619,ENSMUSG00000052459,Atp6v1a,0.6990999835,5.077628,23.3117718707573,1.37754308558e-6,8.2400035569188e-4,UP,"ATPase, H+ transporting, lysosomal V1 subunit A"
7618,ENSMUSG00000035923,Myf6,0.6668769687,6.7411221,23.0649272035283,1.56621779754e-6,8.993849080623e-4,UP,myogenic factor 6
620,ENSMUSG00000004951,Hspb1,0.5629659995,7.402985,22.5946902648169,2.00036687816e-6,0.00110451026549937,UP,heat shock protein 1
3041,ENSMUSG00000022952,Runx1,1.6645973407,2.0946213,22.3629428889827,2.25686911814e-6,0.00112821278746087,UP,runt related transcription factor 1
8857,ENSMUSG00000040435,Ppp1r15a,0.5685031779,5.1448306,22.3983802590316,2.21560786623e-6,0.00112821278746087,UP,"protein phosphatase 1, regulatory subunit 15A"
9374,ENSMUSG00000042628,Zfyve1,0.6470460672,5.7855044,22.279050813211,2.35764722929e-6,0.00112821278746087,UP,"zinc finger, FYVE domain containing 1"
9949,ENSMUSG00000047061,Gm9817,0.4780165236,5.4077596,22.3167815021837,2.31177511618e-6,0.00112821278746087,UP,predicted gene 9817
7252,ENSMUSG00000034361,Cpne2,1.659318683,4.3483865,22.2158735341317,2.4365106308e-6,0.00112834021341352,UP,copine II
7575,ENSMUSG00000035735,Dagla,-0.6935724294,3.5018881,21.9714701039006,2.76733679167e-6,0.00121278512204009,DOWN,"diacylglycerol lipase, alpha"
9121,ENSMUSG00000041548,Hspb8,0.5658277865,8.332902,21.9573185987209,2.78781756947e-6,0.00121278512204009,UP,heat shock protein 8
5904,ENSMUSG00000030494,Rhpn2,0.7103383876,3.8519032,21.3282445277304,3.86987533305e-6,0.00158731229375429,UP,"rhophilin, Rho GTPase binding protein 2"
11269,ENSMUSG00000058975,Kcnc1,-0.6806080719,6.7458247,21.3397891640464,3.84664091646e-6,0.00158731229375429,DOWN,"potassium voltage gated channel, Shaw-related subfamily, member 1"
